source,location_name,day,total_cars
splashdb,Online Portal,2026-09-04,
splashdb,Splash Auburn-159,2026-09-04,451
splashdb,Splash Batavia MainSt-157,2026-09-04,533
splashdb,Splash Batavia Veterans-121,2026-09-04,421
splashdb,Splash Bedford Express-019,2026-09-04,279
splashdb,Splash Bedford Handwash & Lube-019,2026-09-04,267
splashdb,Splash Binghamton-122,2026-09-04,366
splashdb,Splash Bohemia-182,2026-09-04,705
splashdb,Splash Brewster-021,2026-09-04,144
splashdb,Splash Bridgeport Lube-023,2026-09-04,
splashdb,Splash Bridgeport-022,2026-09-04,297
splashdb,Splash Brighton-155,2026-09-04,
splashdb,Splash Brockport II-140,2026-09-04,350
splashdb,Splash Cheshire-030,2026-09-04,246
splashdb,Splash Chili-141,2026-09-04,385
splashdb,Splash Cicero-125,2026-09-04,336
splashdb,Splash Clay-144,2026-09-04,703
splashdb,Splash Commack-186,2026-09-04,301
splashdb,Splash Cortland-126,2026-09-04,403
splashdb,Splash Cos Cob-032,2026-09-04,308
splashdb,Splash Cromwell-082,2026-09-04,184
splashdb,Splash Darien-049,2026-09-04,307
splashdb,Splash Derby-089,2026-09-04,609
splashdb,Splash East Haven-085,2026-09-04,756
splashdb,Splash East Northport-187,2026-09-04,663
splashdb,Splash Elmira-127,2026-09-04,306
splashdb,Splash Fairfield-050,2026-09-04,265
splashdb,Splash Fairport-138,2026-09-04,326
splashdb,Splash Falmouth-092,2026-09-04,
splashdb,Splash Farmington-160,2026-09-04,255
splashdb,Splash Fayetteville-150,2026-09-04,690
splashdb,Splash Geneva II-139,2026-09-04,621
splashdb,Splash Greenwich Express-040,2026-09-04,292
splashdb,Splash Greenwich Handwash-040,2026-09-04,493
splashdb,Splash Hamburg-149,2026-09-04,174
splashdb,Splash Hamden-051,2026-09-04,360
splashdb,Splash Hempstead-185,2026-09-04,371
splashdb,Splash Henrietta-151,2026-09-04,393
splashdb,Splash Johnson City-156,2026-09-04,547
splashdb,Splash Leray-148,2026-09-04,598
splashdb,Splash Lindenhurst-184,2026-09-04,464
splashdb,Splash Liverpool-145,2026-09-04,388
splashdb,Splash Management-011,2026-09-04,
splashdb,Splash Milford-090,2026-09-04,894
splashdb,Splash Montgomery-191,2026-09-04,510
splashdb,Splash Nanuet-087,2026-09-04,
splashdb,Splash Newark-132,2026-09-04,396
splashdb,Splash Newburgh-086,2026-09-04,423
splashdb,Splash Northport-183,2026-09-04,724
splashdb,Splash Norwalk-065,2026-09-04,359
splashdb,Splash Oswego-147,2026-09-04,459
splashdb,Splash Plattsburgh-083,2026-09-04,
splashdb,Splash Port Jefferson-188,2026-09-04,
splashdb,Splash Randolph-091,2026-09-04,634
splashdb,Splash Rochester LongPond-142,2026-09-04,494
splashdb,Splash Rutland-221,2026-09-04,580
splashdb,Splash Seneca Falls-133,2026-09-04,0
splashdb,Splash Shelburne-222,2026-09-04,411
splashdb,Splash Shelton Express-068,2026-09-04,272
splashdb,Splash Shelton Handwash-068,2026-09-04,205
splashdb,Splash Southeast Wash & Lube-088,2026-09-04,356
splashdb,Splash Spencerport-143,2026-09-04,475
splashdb,Splash Springfield-095,2026-09-04,393
splashdb,Splash Stamford HopeSt-053,2026-09-04,428
splashdb,Splash USA Car Wash Bronx-096,2026-09-04,146
splashdb,Splash Vestal-134,2026-09-04,443
splashdb,Splash Watertown-135,2026-09-04,425
splashdb,Splash West Haven-074,2026-09-04,333
splashdb,Splash Westport-070,2026-09-04,350
splashdb,Splash White Glove-Blackwood 231,2026-09-04,227
splashdb,Splash White Glove-Cherry Hill 232,2026-09-04,203
splashdb,Splash White Glove-Exton 241,2026-09-04,228
splashdb,Splash White Glove-Maple Shade 233,2026-09-04,144
splashdb,Splash White Glove-NewArk II 251,2026-09-04,146
splashdb,Splash White Glove-Wilmington 252,2026-09-04,154
splashdb,Splash White Plains-Central Ave-076,2026-09-04,455
splashdb,Splash White Plains-Kensico Ave-075,2026-09-04,470
splashdb,Splash Williamsville-137,2026-09-04,361
splashdb,Splash Williston-084,2026-09-04,452
splashdb,Splash Wilton-080,2026-09-04,352
splashdb,Splash24 Batavia Liberty-131,2026-09-04,198
splashdb,Splash24 Brockport-123,2026-09-04,
splashdb,Splash24 Canandaigua-124,2026-09-04,226
splashdb,Suds McClean New Haven-060,2026-09-04,213
ICS,Corporate,2026-09-04,0
ICS,WashCo Middletown,2026-09-04,1379
ICS,WashCo White Plains,2026-09-04,1244
